,id,question,option_a,option_b,option_c,option_d,answer,prediction
0,2-001,"Kết quả của 1,05 m^{3} = …….. dm^{3} ?",A. 105,B. 1005,C. 1050,D. 1500,C,A
1,2-002,Số thích hợp điền vào chỗ trống 95m^{2} 7dm^{2} = . . . m^{2} là:,A. 957,"B. 95,7","C. 95,07","D. 95,007",B,C
2,2-003,302 được viết thành tổng là:,A. 300 + 20,B. 300 + 02,C. 300 + 10 + 2,D. 30 + 10 +2,B,A
3,2-004,Hãy đổi giờ thành phút như sau: 3 giờ 15 phút = ....phút,A. 120 phút,B. 195 phút,C. 215 phút,D. 205 phút,B,C
4,2-005,Phép tính 4 \frac{33}{100} + 4 \frac{3}{10} viết dưới dạng số thập phân là:,"A. 8,433","B. 8,63","C. 4,633","D. 8,33",B,A
5,2-006,Cô giáo phân công cho 2/5 số bạn trong lớp đi quét sân trường còn 1/3 số bạn đi dọn vệ sinh hành lang thì trong lớp còn 12 bạn vệ sinh lớp học. Hỏi tổng số học sinh ban đầu của lớp là bao nhiêu?,A. 35,B. 40,C. 45,D. 50,C,B
6,2-007,"Giá trị của chữ số 2 trong số 340,2 là:",A. \frac{2}{10},B. \frac{2}{100},C. \frac{2}{100},D. 2,A,C
7,2-008,3 \frac{6}{100} m^{2} = …….. m^{2},"A. 3,6 m^{2}","B. 3,06 m^{2}",C. 750 m^{2},D. 360 m^{2},B,B
8,2-009,Các số thập phân sau đây số nào là số bé nhất?,"A. 13,1","B. 12,4","C. 12,3","D. 12,2",D,D
9,2-010,"Tìm nửa chu vi của khu vườn hình chữ nhật dài 50cm, rộng 40cm.",A. 1596 m,B. 160 m,C. 180 m,D. 90 m,D,B
10,2-011,Số thập phân nhỏ nhất là:,"A. 2,445","B. 2,454","C. 2,455","D. 2,444",D,D
11,2-012,"Duyên có 18 viên kẹo, Kiên có số viên kẹo bằng 2/3 số kẹo của Duyên, riêng Châu có số kẹo bằng trung bình cộng của Duyên và Kiên. Hỏi cả 3 bạn Duyên, Kiên và Châu có tổng cộng bao nhiêu viên kẹo?",A. 30,B. 20,C. 35,D. 45,D,C
12,2-013,"Cách viết khác của 35,33 là:","A. 35,033","B. 35,330","C. 35,303","D. 350,33",B,A
13,2-014,"49,4% x 30 = ............. %",A. 1482,"B. 14,82","C. 148,2","D. 1,482",B,B
14,2-015,"0,12 =  ...............%","A. 1,2%",B. 12%,C. 120%,"D. 0,12%",B,A
15,2-016,Dãy số nào sau đây được xếp theo thứ tự giảm dần?,"A. 0,901; 0,889; 0,899; 0,809; 0,798","B. 0,901; 0,899; 0,889; 0,809; 0,798","C. 0,899; 0,889; 0,798; 0,809; 0,901","D. 0,798; 0,809; 0,889; 0,899; 0,901",B,C
16,2-017,"Chữ số 6 trong số thập phân 72,364 có giá trị là:",A. 6,B. \frac{6}{10},C. \frac{6}{100},D. \frac{6}{1000},C,C
17,2-018,"Một con voi nặng 3,3 tấn. Con voi nặng hơn con cá heo nặng 1,7 tấn. Hỏi con cá heo đó nặng bao nhiêu ki-lô-gam?","A. 1,6 kg",B. 1600kg,C. 160kg,D. 16kg,B,B
18,2-019,Phân số bằng phân số \frac{2}{3} là:,A. \frac{4}{6},B. \frac{3}{5},C. \frac{4}{5},D. \frac{3}{2},A,A
19,2-020,Tìm một số biết rằng 20% của số đó bằng 202:,A. 576,B. 10060,C. 1010,D. 765,C,A
20,2-021,5m = ........ Số thích hợp để điền vào chỗ chấm là:,A. 500 cm,"B. 0,05 cm",C. 5000 cm,D. 500 dm,A,D
21,2-022,Nếu giảm bán kính của hình tròn đi 6 lần thì chu vi sẽ giảm đi mấy lần?,A. 3 lần,B. 6 lần,C. 9 lần,D. 12 lần,B,C
22,2-023,Số thích hợp viết vào chỗ chấm của 9 cm^{2} 8 mm^{2} = ................ mm^{2} là:,A. 98,B. 908,C. 980,D. 9080,B,D
23,2-024,"Một hình tam giác có cạnh đáy 13,6m, chiều cao bằng \frac{1}{2} cạnh đáy. Tính diện tích hình tam giác đó?","A. 39,69 m^{2}","B. 92,84 m^{2}","C. 46,24m^{2}",D. 4624m^{2},C,A
